,RMSE,Fullcell,Halfcell Anode,Halfcell Cathode,Solution
126,381.76622762878503,LFP-HighV,"Graphite, Ecker2015","NCA, Hust2019",[0.         0.7        0.00117656 0.7       ]
127,752.9776983201224,LFP-HighV,"Graphite, Ecker2015","NCA, Kim2011",[-4.17756650e-17  7.00000000e-01 -4.16333634e-17  7.00000000e-01]
128,543.4304041691643,LFP-HighV,"Graphite, Ecker2015","NCO46, Ecker2015",[-9.32413868e-18  7.00000000e-01 -1.21430643e-17  7.00000000e-01]
129,553.3097494697918,LFP-HighV,"Graphite, Ecker2015","NMC, Birkl2015",[-7.58941521e-18  7.00000000e-01 -1.10342649e-17  7.00000000e-01]
130,496.6938298426252,LFP-HighV,"Graphite, Ecker2015","NMC, Dufour2018",[-3.29597460e-17  7.00000000e-01 -3.23691975e-17  7.00000000e-01]
131,675.0965543133763,LFP-HighV,"Graphite, Ecker2015","NMC, Ferraro2020",[-1.73472348e-18  7.00000000e-01 -2.16840434e-18  7.00000000e-01]
132,541.6561959272303,LFP-HighV,"Graphite, Ecker2015","NMC, Liebig2019",[-8.23993651e-18  7.00000000e-01 -1.04083409e-17  7.00000000e-01]
133,743.4378625337522,LFP-HighV,"Graphite, Ecker2015","NMC, Smith2006",[-1.73472348e-19  7.00000000e-01 -1.73472348e-19  7.00000000e-01]
134,557.0959806309372,LFP-HighV,"Graphite, Ecker2015","NMC111, Ko2019",[-1.73472348e-18  7.00000000e-01 -1.73472348e-18  7.00000000e-01]
135,420.5256554204723,LFP-HighV,"Graphite, Ecker2015","NMC111, Schmalstieg2018",[ 8.23984522e-04  7.00000000e-01 -1.42338553e-20  7.00000000e-01]
136,220.96170863085953,LFP-HighV,"Graphite, Ecker2015","NMC111, Wu2012",[ 2.18230680e-02  8.80310048e-01 -2.48196924e-23  7.00000000e-01]
137,684.2336335312422,LFP-HighV,"Graphite, Ecker2015","NMC523, Verma2017",[-3.55618313e-17  7.00000000e-01 -3.53814922e-17  7.00000000e-01]
138,520.8223616090504,LFP-HighV,"Graphite, Ecker2015","NMC622, Chaouachi2021",[-1.36609474e-17  7.00000000e-01 -1.31313109e-17  7.00000000e-01]
139,349.26550196298206,LFP-HighV,"Graphite, Ecker2015","NMC622, Gao2018",[2.24140625e-03 7.00000000e-01 1.88079096e-37 7.00000000e-01]
140,501.27753677408884,LFP-HighV,"Graphite, Ecker2015","NMC811, Chen2020",[-2.55871713e-17  7.00000000e-01 -2.94902991e-17  7.00000000e-01]
141,435.6054254757434,LFP-HighV,"Graphite, Ecker2015","NMC811, Sturm2019",[ 2.88281250e-04  7.00000000e-01 -1.75428717e-34  7.00000000e-01]
142,146.35569771522353,LFP-HighV,"Graphite, Ecker2015","SIB-NMF, cathode_charge_data",[0.00235101 0.85692517 0.29100406 1.        ]
143,150.70760097636858,LFP-HighV,"Graphite, Ecker2015","SIB-NMF, cathode_discharge_data",[0.00277381 0.99729532 0.36962907 1.        ]
144,748.3640828757831,LFP-HighV,"Graphite, Hust2019","LCO, Doyle2003",[-3.46944695e-17  7.00000000e-01 -3.46944695e-17  7.00000000e-01]
145,739.5727984305307,LFP-HighV,"Graphite, Hust2019","LCO, Jiang2016",[1.73472348e-18 7.00000000e-01 1.91758797e-19 7.00000000e-01]
146,695.4871870543255,LFP-HighV,"Graphite, Hust2019","LCO, Kumaresan2008",[-6.93889390e-18  7.00000000e-01 -7.26415456e-18  7.00000000e-01]
147,753.4546042918325,LFP-HighV,"Graphite, Hust2019","LCO, Tang2019",[-3.46944695e-18  7.00000000e-01 -6.93889390e-18  7.00000000e-01]
148,834.9153918173455,LFP-HighV,"Graphite, Hust2019","LFP, Const",[-4.05431894e-19  7.00000000e-01  1.35663235e-01  9.59515884e-01]
149,807.864163537174,LFP-HighV,"Graphite, Hust2019","LFP, Delacourt2011",[-2.77555756e-17  7.00000000e-01 -1.73472348e-18  7.00000000e-01]
150,807.864163537174,LFP-HighV,"Graphite, Hust2019","LFP, Farkhondeh2014",[-2.77555756e-17  7.00000000e-01 -1.73472348e-18  7.00000000e-01]
151,807.864163537174,LFP-HighV,"Graphite, Hust2019","LFP, HighV",[-2.77555756e-17  7.00000000e-01 -1.73472348e-18  7.00000000e-01]
152,846.0134075608345,LFP-HighV,"Graphite, Hust2019","LFP, Kashkooli2016",[-5.55111512e-17  7.00000000e-01  1.73472348e-18  7.00000000e-01]
153,393.98073713289796,LFP-HighV,"Graphite, Hust2019","LFP, Prada2012",[4.8828125e-04 1.0000000e+00 0.0000000e+00 7.0000000e-01]
154,451.77846010872884,LFP-HighV,"Graphite, Hust2019","LFP, Srinivasan2004a",[3.91488685e-21 1.00000000e+00 0.00000000e+00 7.00000000e-01]
155,807.864163537174,LFP-HighV,"Graphite, Hust2019","LFP, Thorat2011",[-2.77555756e-17  7.00000000e-01 -1.73472348e-18  7.00000000e-01]
156,707.5304801524535,LFP-HighV,"Graphite, Hust2019","LMO, Albertus2009",[-1.73472348e-18  7.00000000e-01  0.00000000e+00  7.00000000e-01]
157,611.3775522859082,LFP-HighV,"Graphite, Hust2019","LMO, Das2004",[-2.85145171e-17  7.00000000e-01 -3.12250226e-17  7.00000000e-01]
158,759.3927168695571,LFP-HighV,"Graphite, Hust2019","LMO, Doyle1996",[-1.04083409e-17  7.00000000e-01 -1.04083409e-17  7.00000000e-01]
159,700.5426522225503,LFP-HighV,"Graphite, Hust2019","NCA, Abraham2008",[-6.77572164e-18  7.00000000e-01 -1.01918850e-17  7.00000000e-01]
160,480.3507339619714,LFP-HighV,"Graphite, Hust2019","NCA, Albertus2009",[-1.84314369e-18  7.00000000e-01 -6.93889390e-18  7.00000000e-01]
161,801.0215888993812,LFP-HighV,"Graphite, Hust2019","NCA, Dees2008",[0.00000000e+00 7.00000000e-01 3.87933484e-19 7.00000000e-01]
162,440.3349513210081,LFP-HighV,"Graphite, Hust2019","NCA, Hust2019",[-5.20417043e-18  7.00000000e-01 -4.11996826e-18  7.00000000e-01]
163,825.0095796232121,LFP-HighV,"Graphite, Hust2019","NCA, Kim2011",[0.00000000e+00 7.00000000e-01 1.73472348e-18 7.00000000e-01]
164,611.5308663140662,LFP-HighV,"Graphite, Hust2019","NCO46, Ecker2015",[-3.29597460e-17  7.00000000e-01 -3.58870919e-17  7.00000000e-01]
165,620.5048132796388,LFP-HighV,"Graphite, Hust2019","NMC, Birkl2015",[-8.67361738e-18  7.00000000e-01 -1.07336015e-17  7.00000000e-01]
166,563.7081334210795,LFP-HighV,"Graphite, Hust2019","NMC, Dufour2018",[-1.04083409e-17  7.00000000e-01 -1.09504419e-17  7.00000000e-01]
167,738.9164613630836,LFP-HighV,"Graphite, Hust2019","NMC, Ferraro2020",[-6.93889390e-18  7.00000000e-01 -3.67300159e-18  7.00000000e-01]
168,612.1516951336306,LFP-HighV,"Graphite, Hust2019","NMC, Liebig2019",[-3.46944695e-18  7.00000000e-01 -6.93889390e-18  7.00000000e-01]
